
NombreCompleto,Edad,SemestreEnCurso,Direccion,NumCuenta
Quinn Morales Silva,24,7,"Calle Allende, Colonia Centro, Colima, Colima",292275068
Quimica,10 Indicador ecolar: 0.0
Fundamentos de Fisica,9 Indicador ecolar: 0.0
Fundamentos de Programacion,7 Indicador ecolar: 0.0
Algebra Lineal,7 Indicador ecolar: 0.0
Calculo Integral,6 Indicador ecolar: 0.0
Mecanica,5 Indicador ecolar: 0.0
Redaccion y Exposicion de Temas de Ingenieria,10 Indicador ecolar: 0.0
Estructura de Datos y Algoritmos I,6 Indicador ecolar: 0.0
Probabilidad,10 Indicador ecolar: 0.0
Calculo Vectorial,8 Indicador ecolar: 0.0
Ecuaciones Diferenciales,6 Indicador ecolar: 0.0
Programacion Orientada a Objetos,5 Indicador ecolar: 0.0
Estructuras de Datos y Algoritmos II,6 Indicador ecolar: 0.0
Fundamentos de Estadistica,6 Indicador ecolar: 0.0
Electricidad y Magnetismo,7 Indicador ecolar: 0.0
Analisis Numerico,5 Indicador ecolar: 0.0
Matematicas Avanzadas,5 Indicador ecolar: 0.0
Estructuras Discretas,7 Indicador ecolar: 0.0
Estructura y Programacion de Computadoras,8 Indicador ecolar: 0.0
Dispositivos Electronicos,7 Indicador ecolar: 0.0
Lenguajes Formales y Automatas,10 Indicador ecolar: 0.0
Se�ales y Sistemas,7 Indicador ecolar: 0.0
Ingenieria en Software,6 Indicador ecolar: 0.0
Sistemas Operativos,8 Indicador ecolar: 0.0
Dise�o Digital Moderno,5 Indicador ecolar: 0.0
Bases de Datos,8 Indicador ecolar: 0.0
Circuitos Electricos,5 Indicador ecolar: 0.0
Administracion de Proyectos de Software,10 Indicador ecolar: 0.0
Jamie Valenzuela Herrera,21,3,"Calle Francisco I. Madero, Colonia El Refugio, Monterrey, Nuevo León",901089827
Materia,Calificacion
Algebra,5 Indicador ecolar: 0.0
Calculo y Geometria Analitica,6 Indicador ecolar: 0.0
Quimica,5 Indicador ecolar: 0.0
Fundamentos de Fisica,8 Indicador ecolar: 0.0
Fundamentos de Programacion,9 Indicador ecolar: 0.0
Algebra Lineal,5 Indicador ecolar: 0.0
Calculo Integral,6 Indicador ecolar: 0.0
Mecanica,6 Indicador ecolar: 0.0
Redaccion y Exposicion de Temas de Ingenieria,9 Indicador ecolar: 0.0
Estructura de Datos y Algoritmos I,10 Indicador ecolar: 0.0
Probabilidad,7 Indicador ecolar: 0.0
Calculo Vectorial,6 Indicador ecolar: 0.0
Ecuaciones Diferenciales,9 Indicador ecolar: 0.0
Programacion Orientada a Objetos,6 Indicador ecolar: 0.0
Estructuras de Datos y Algoritmos II,10 Indicador ecolar: 0.0
Taylor Araya Romero,22,7,"Avenida Constitución, Colonia Zona Centro, San Cristóbal de las Casas, Chiapas",921833998
Materia,Calificacion
Algebra,6 Indicador ecolar: 0.0
Calculo y Geometria Analitica,6 Indicador ecolar: 0.0
Quimica,7 Indicador ecolar: 0.0
Fundamentos de Fisica,10 Indicador ecolar: 0.0
Fundamentos de Programacion,9 Indicador ecolar: 0.0
Algebra Lineal,6 Indicador ecolar: 0.0
Calculo Integral,9 Indicador ecolar: 0.0
Mecanica,9 Indicador ecolar: 0.0
Redaccion y Exposicion de Temas de Ingenieria,5 Indicador ecolar: 0.0
Estructura de Datos y Algoritmos I,6 Indicador ecolar: 0.0
Probabilidad,5 Indicador ecolar: 0.0
Calculo Vectorial,5 Indicador ecolar: 0.0
Ecuaciones Diferenciales,8 Indicador ecolar: 0.0
Programacion Orientada a Objetos,8 Indicador ecolar: 0.0
Estructuras de Datos y Algoritmos II,8 Indicador ecolar: 0.0
Fundamentos de Estadistica,7 Indicador ecolar: 0.0
Electricidad y Magnetismo,10 Indicador ecolar: 0.0
Analisis Numerico,8 Indicador ecolar: 0.0
Matematicas Avanzadas,8 Indicador ecolar: 0.0
Estructuras Discretas,6 Indicador ecolar: 0.0
Estructura y Programacion de Computadoras,9 Indicador ecolar: 0.0
Dispositivos Electronicos,9 Indicador ecolar: 0.0
Lenguajes Formales y Automatas,10 Indicador ecolar: 0.0
Se�ales y Sistemas,6 Indicador ecolar: 0.0
Ingenieria en Software,5 Indicador ecolar: 0.0
Sistemas Operativos,5 Indicador ecolar: 0.0
Dise�o Digital Moderno,8 Indicador ecolar: 0.0
Bases de Datos,10 Indicador ecolar: 0.0
Circuitos Electricos,6 Indicador ecolar: 0.0
Administracion de Proyectos de Software,6 Indicador ecolar: 0.0
Finanzas en la Ingenieria en Computacion,6 Indicador ecolar: 0.0
Dise�o Digital VLSI,6 Indicador ecolar: 0.0
Inteligencia Artificial,9 Indicador ecolar: 0.0
Compiladores,5 Indicador ecolar: 0.0
Sistemas de Comunicaciones,10 Indicador ecolar: 0.0
Morgan Mendoza Lopez,22,5,"Calle Guerrero, Colonia El Pueblito, Zapopan, Jalisco",173372261
Materia,Calificacion
Algebra,6 Indicador ecolar: 0.0
Calculo y Geometria Analitica,7 Indicador ecolar: 0.0
Quimica,5 Indicador ecolar: 0.0
Fundamentos de Fisica,5 Indicador ecolar: 0.0
Fundamentos de Programacion,8 Indicador ecolar: 0.0
Algebra Lineal,6 Indicador ecolar: 0.0
Calculo Integral,8 Indicador ecolar: 0.0
Mecanica,6 Indicador ecolar: 0.0
Redaccion y Exposicion de Temas de Ingenieria,8 Indicador ecolar: 0.0
Estructura de Datos y Algoritmos I,7 Indicador ecolar: 0.0
Probabilidad,5 Indicador ecolar: 0.0
Calculo Vectorial,9 Indicador ecolar: 0.0
Ecuaciones Diferenciales,7 Indicador ecolar: 0.0
Programacion Orientada a Objetos,8 Indicador ecolar: 0.0
Estructuras de Datos y Algoritmos II,5 Indicador ecolar: 0.0
Fundamentos de Estadistica,7 Indicador ecolar: 0.0
Electricidad y Magnetismo,5 Indicador ecolar: 0.0
Analisis Numerico,10 Indicador ecolar: 0.0
Matematicas Avanzadas,6 Indicador ecolar: 0.0
Estructuras Discretas,9 Indicador ecolar: 0.0
Estructura y Programacion de Computadoras,9 Indicador ecolar: 0.0
Dispositivos Electronicos,5 Indicador ecolar: 0.0
Lenguajes Formales y Automatas,10 Indicador ecolar: 0.0
Se�ales y Sistemas,10 Indicador ecolar: 0.0
Ingenieria en Software,5 Indicador ecolar: 0.0
Taylor Avery Fernandez Herrera,24,10,"Avenida Juárez, Colonia Las Rosas, Monterrey, Nuevo León",068279621
Materia,Calificacion
Algebra,10 Indicador ecolar: 0.0
Calculo y Geometria Analitica,9 Indicador ecolar: 0.0
Quimica,9 Indicador ecolar: 0.0
Fundamentos de Fisica,9 Indicador ecolar: 0.0
Fundamentos de Programacion,7 Indicador ecolar: 0.0
Algebra Lineal,7 Indicador ecolar: 0.0
Calculo Integral,8 Indicador ecolar: 0.0
Mecanica,7 Indicador ecolar: 0.0
Redaccion y Exposicion de Temas de Ingenieria,5 Indicador ecolar: 0.0
Estructura de Datos y Algoritmos I,7 Indicador ecolar: 0.0
Probabilidad,8 Indicador ecolar: 0.0
Calculo Vectorial,8 Indicador ecolar: 0.0
Ecuaciones Diferenciales,9 Indicador ecolar: 0.0
Programacion Orientada a Objetos,5 Indicador ecolar: 0.0
Estructuras de Datos y Algoritmos II,9 Indicador ecolar: 0.0
Fundamentos de Estadistica,8 Indicador ecolar: 0.0
Electricidad y Magnetismo,5 Indicador ecolar: 0.0
Analisis Numerico,8 Indicador ecolar: 0.0
Matematicas Avanzadas,10 Indicador ecolar: 0.0
Estructuras Discretas,10 Indicador ecolar: 0.0
Estructura y Programacion de Computadoras,10 Indicador ecolar: 0.0
Dispositivos Electronicos,10 Indicador ecolar: 0.0
Lenguajes Formales y Automatas,6 Indicador ecolar: 0.0
Se�ales y Sistemas,9 Indicador ecolar: 0.0
Ingenieria en Software,10 Indicador ecolar: 0.0
Sistemas Operativos,8 Indicador ecolar: 0.0
Dise�o Digital Moderno,7 Indicador ecolar: 0.0
Bases de Datos,5 Indicador ecolar: 0.0
Circuitos Electricos,10 Indicador ecolar: 0.0
Administracion de Proyectos de Software,9 Indicador ecolar: 0.0
Finanzas en la Ingenieria en Computacion,7 Indicador ecolar: 0.0
Dise�o Digital VLSI,7 Indicador ecolar: 0.0
Inteligencia Artificial,10 Indicador ecolar: 0.0
Compiladores,10 Indicador ecolar: 0.0
Sistemas de Comunicaciones,5 Indicador ecolar: 0.0
Optativa de Ciencias Sociales y Humanidades,8 Indicador ecolar: 0.0
Microcomputadoras,7 Indicador ecolar: 0.0
Computacion Grafica e Interaccion Humano-Computadora,9 Indicador ecolar: 0.0
Etica Profesional,10 Indicador ecolar: 0.0
Redes de Datos Seguras,9 Indicador ecolar: 0.0
Organizacion y Arquitectura de Computadoras,7 Indicador ecolar: 0.0
Fundamentos de Sistemas Embebidos,9 Indicador ecolar: 0.0
Sistemas Distribuidos,10 Indicador ecolar: 0.0
Optativa de Campo de Profundizacion I,8 Indicador ecolar: 0.0
Recursos y Necesidades de Mexico,6 Indicador ecolar: 0.0
Cultura y Comunicacion,6 Indicador ecolar: 0.0
Introduccion a la Economia,10 Indicador ecolar: 0.0
Optativa de Campo de Profundizacion II,6 Indicador ecolar: 0.0
Optativa de Campo de Profundizacion III,7 Indicador ecolar: 0.0
Optativa de Campo de Profundizacion IV,5 Indicador ecolar: 0.0
